FeedRate,SpindleSpeed,DepthofCut,ratio_cut,Cut_X,Cut_Y,Cut_Z,Cut_XY,Cut_XYZ,Duration,cutdirect,cutmethod
253.8299866,2998,1,1.001661403,0,63.176,0,63.176,63.176,14.93,2,1
253.8287256,2998,1,1.001661403,0,63.176,0,63.176,63.176,14.82,2,2
304.7546259,2997.758648,1,1.005496139,0,63.176,0,63.176,63.176,12.42,2,1
298.2020767,2997.768371,1,1.001661403,0,63.176,0,63.176,63.176,12.51,2,2
297.7265501,2998,1,1.001661403,0,63.176,0,63.176,63.176,12.57,2,1
304.7558046,2998,1,1.001661403,0,63.176,0,63.176,63.176,12.48,2,2
304.7575517,2998,1,0.946201931,0,63.176,0,63.176,63.176,12.57,2,1
75.98551001,2998,1,0.955163748,0,66.574,0,66.574,66.574,52.44,2,2
68.30065359,2998,1,1.611315377,3.175,1.588,0,3.549981549,3.549981549,3.05,3,2
304.7558046,5998.751801,1,1.001506307,0,63.176,0,63.176,63.176,12.48,2,1
304.7520325,5999,1,1.001661403,0,63.176,0,63.176,63.176,12.29,2,2
406.5604752,5998.676026,1,1.001661403,0,63.176,0,63.176,63.176,9.25,2,1
393.3049422,5998.674027,1,1.001661403,0,63.176,0,63.176,63.176,9.5,2,2
257.8260283,5998.797707,1,1.001582607,0,63.176,0,63.176,63.176,14.82,2,1
252.8053691,5998.402685,1,1.001661403,0,63.176,0,63.176,63.176,14.89,2,2
580.9969325,5999,1,1.001661403,0,63.176,0,63.176,63.176,6.51,2,1
598.57277,5999,1,1.001661403,0,63.176,0,63.176,63.176,6.38,2,2
75.68042476,1502.899018,1,1.001582607,0,63.176,0,63.176,63.176,49.9,2,1
75.54427344,1502.703778,1,1.001661403,0,63.176,0,63.176,63.176,50.02,2,2
101.0954533,1503.190375,1,1.001661403,0,63.176,0,63.176,63.176,37.6,2,1
101.9727491,1502.897943,1,1.001661403,0,63.176,0,63.176,63.176,37.42,2,2
126.3978029,1503.15779,1,1.001661403,0,63.176,0,63.176,63.176,30.03,2,1
126.9573253,1503.875672,1,1.001661403,0,63.176,0,63.176,63.176,29.75,2,2
150.0844338,1503.14966,1,1.005496139,0,63.176,0,63.176,63.176,24.98,2,1
151.9386354,1503.045216,1,1.001661403,0,63.176,0,63.176,63.176,24.76,2,2
151.9389803,1502.809715,1,1.001661403,0,63.176,0,63.176,63.176,24.9,2,1
150.2472,1503.28,1,1.001661403,0,63.176,0,63.176,63.176,24.99,2,2
151.9387097,1502.629032,1,0.946201931,0,63.176,0,63.176,63.176,24.79,2,1
75.81,1501.325,1,1.455609838,0,5,0,5,5,3.99,2,2
73.44342508,1501.721713,1,1.157380349,11.057,4.807,0,12.05672003,12.05672003,9.8,3,2
68.82084691,1501.084691,1,0.185755375,1.305,3.275,0,3.611310802,3.611310802,3.06,3,2
75.32808532,1503.321991,1,1.168559545,0,24.839,0,24.839,24.839,19.68,2,2
75.64670051,1503.086294,1,1.168606593,0,24.838,0,24.838,24.838,19.69,2,2
75.90984579,1503.638197,1,0.619061494,6.763,6.763,0,10.62329556,10.62329556,8.42,3,2
74.79055441,1503.045175,1,1.058038125,49.025,0,0,49.025,49.025,38.95,1,2
75.93268379,1502.923826,1,1.285473077,6.976,12.577,0,14.3821245,14.3821245,11.28,3,2
75.97670855,1502.97487,1,1.100355829,0,41.423,0,41.423,41.423,32.62,2,2
73.86400725,1503.324569,1,0.653393379,8.763,8.763,0,13.76488821,13.76488821,11.02,3,2
76,1502.932621,1,1.097054689,39.455,0,0,39.455,39.455,30.86,1,2
75.9392486,1502.629097,1,1.039337585,14.545,6.324,0,15.8603279,15.8603279,12.5,3,2
101.8561354,1501.510578,1,0.717798926,7.598,4.807,0,8.990931709,8.990931709,7.08,3,2
101.9308005,1502.141113,1,1.168559545,0,24.839,0,24.839,24.839,14.73,2,2
100.4180602,1503.374582,1,1.168606593,0,24.838,0,24.838,24.838,14.94,2,2
101.840625,1502.8125,1,0.619061494,6.763,6.763,0,10.62329556,10.62329556,6.39,3,2
101.2129121,1503.083104,1,1.058038125,49.025,0,0,49.025,49.025,29.11,1,2
101.8819444,1502.587963,1,1.285473077,6.976,12.577,0,14.3821245,14.3821245,8.63,3,2
100.4719419,1503.404522,1,1.100355829,0,41.423,0,41.423,41.423,24.76,2,2
99.9517491,1504.512666,1,0.653393379,8.763,8.763,0,13.76488821,13.76488821,8.28,3,2
101.9561667,1502.927804,1,1.107173259,39.455,0,0,39.455,39.455,23.26,1,2
98.81276151,1503.058577,1,1.065327869,14.545,6.324,0,15.8603279,15.8603279,9.55,3,2
120.4053601,1504.058626,1,0.717798926,7.598,4.807,0,8.990931709,8.990931709,5.96,3,2
125.5294613,1503.882155,1,1.168559545,0,24.839,0,24.839,24.839,11.87,2,2
123.9128248,1503.752724,1,1.168606593,0,24.838,0,24.838,24.838,11.92,2,2
119.1695568,1503.104046,1,0.619061494,6.763,6.763,0,10.62329556,10.62329556,5.18,3,2
126.9449502,1503.291287,1,1.058038125,49.025,0,0,49.025,49.025,23.06,1,2
126.8087349,1503.518072,1,1.285473077,6.976,12.577,0,14.3821245,14.3821245,6.63,3,2
126.7987836,1503.47035,1,1.100355829,0,41.423,0,41.423,41.423,19.72,2,2
121.5917768,1503.038179,1,0.653393379,8.763,8.763,0,13.76488821,13.76488821,6.8,3,2
