FeedRate,SpindleSpeed,DepthofCut,ratio_cut,Cut_X,Cut_Y,Cut_Z,Cut_XY,Cut_XYZ,Duration,Volumecut,cut_direct,cut_method
126.6452514,1499.810056,0,0.464618933,12.28,5.818,0,13.58850706,13.58850706,3.57,0,3,0
126.7764085,1503.225352,0,1.139569819,5.797,10.451,0,11.95109242,11.95109242,5.67,0,3,0
120.8473154,1503.563758,1,0.717798926,7.598,4.807,0,8.990931709,8.990931709,5.95,12.64,3,2
126.8931876,1503.095879,1,1.168559545,0,24.839,0,24.839,24.839,11.88,75.41,2,2
126.0101437,1503.522401,1,1.168606593,0,24.838,0,24.838,24.838,11.82,69.52,2,2
126.8275154,1502.162218,1,0.619061494,6.763,6.763,0,10.62329556,10.62329556,4.86,11.38,3,2
126.9454233,1503.370434,1,1.058038125,49.025,0,0,49.025,49.025,23.26,143.28,1,2
126.8107303,1503.530551,1,1.285473077,6.976,12.577,0,14.3821245,14.3821245,6.7,52.83,3,2
126.9355003,1502.819198,1,1.100355829,0,41.423,0,41.423,41.423,19.68,120.72,2,2
126.8095952,1503.047976,1,0.653393379,8.763,8.763,0,13.76488821,13.76488821,6.66,24.54,3,2
123.2251447,1503.697528,1,1.107173259,39.455,0,0,39.455,39.455,19,118.79,1,2
126.8306667,1501.4,1,1.065327869,14.545,6.324,0,15.8603279,15.8603279,7.49,65.71,3,2
72.78581173,1503.188267,1,1.830075246,0,9.141,0,9.141,9.141,7.32,87.01,2,3
75.92930233,1500.413953,1,0.733405636,0,13.52,0,13.52,13.52,10.74,14.33,2,3
75.87438017,1502.504132,1,0.402144262,4.762,4.763,0,7.480703009,7.480703009,6.04,1.49,3,3
73.42231947,1503.956236,1,1.641971827,11.385,0,0,11.385,11.385,9.13,115.66,1,3
74.19601838,1499.467075,1,0.37287405,16.147,0,0,16.147,16.147,13.05,5.04,1,3
101.8125,1502.878676,1,1.830075246,0,9.141,0,9.141,9.141,5.43,88.17,2,3
98.19494585,1500.395909,1,0.973300837,0,13.52,0,13.52,13.52,8.3,41.93,2,3
101.7718121,1502.310962,1,1.739654518,4.762,4.763,0,7.480703009,7.480703009,4.46,36.15,3,3
99.58479532,1504.02924,1,1.641971827,11.385,0,0,11.385,11.385,6.83,144.89,1,3
101.8944099,1499.621118,1,0.712879447,16.147,0,0,16.147,16.147,9.65,13.72,1,3
101.8114603,1499,1,0.505070942,0,9.142,0,9.142,9.142,5.4,1.14,2,3
126.1177778,1500.333333,1,1.830075246,0,9.141,0,9.141,9.141,4.49,88.17,2,3
121.4185693,1499.456621,1,0.973300837,0,13.52,0,13.52,13.52,6.56,41.93,2,3
109.357513,1503.637306,1,1.739654518,4.762,4.763,0,7.480703009,7.480703009,3.85,36.15,3,3
126.7665441,1500.672794,1,1.641971827,11.385,0,0,11.385,11.385,5.43,144.89,1,3
126.8320106,1499.833333,1,0.712879447,16.147,0,0,16.147,16.147,7.55,13.72,1,3
118.289823,1499,1,0.505070942,0,9.142,0,9.142,9.142,4.51,1.14,2,3
75.89603283,1503.213406,1,1.830075246,0,9.141,0,9.141,9.141,7.3,88.17,2,3
73.91590494,1500.096892,1,0.973300837,0,13.52,0,13.52,13.52,10.93,41.93,2,3
72.98228663,1502.333333,1,1.739654518,4.762,4.763,0,7.480703009,7.480703009,6.2,36.15,3,3
75.91639164,1502.30033,1,1.641971827,11.385,0,0,11.385,11.385,9.08,144.89,1,3
74.12490362,1499.686199,1,0.712879447,16.147,0,0,16.147,16.147,12.96,13.72,1,3
75.45592287,1499,1,0.505070942,0,9.142,0,9.142,9.142,7.25,1.14,2,3
101.8135283,1501.833638,1,1.830075246,0,9.141,0,9.141,9.141,5.46,88.17,2,3
98.73646209,1499.697954,1,0.973300837,0,13.52,0,13.52,13.52,8.3,41.93,2,3
101.7758242,1501.615385,1,1.739654518,4.762,4.763,0,7.480703009,7.480703009,4.54,36.15,3,3
97.17730496,1501.58156,1,1.641971827,11.385,0,0,11.385,11.385,7.04,144.89,1,3
101.9269841,1499.645503,1,0.712879447,16.147,0,0,16.147,16.147,9.44,13.72,1,3
101.812844,1499,1,0.505070942,0,9.142,0,9.142,9.142,5.44,1.14,2,3
126.6968974,1501.887828,1,1.830075246,0,9.141,0,9.141,9.141,4.18,88.17,2,3
126.7987322,1499.950872,1,0.973300837,0,13.52,0,13.52,13.52,6.3,41.93,2,3
126.6510989,1502.324176,1,1.739654518,4.762,4.763,0,7.480703009,7.480703009,3.63,36.15,3,3
124.74,1500.072727,1,1.641971827,11.385,0,0,11.385,11.385,5.49,144.89,1,3
122.1371281,1499.789133,1,0.712879447,16.147,0,0,16.147,16.147,7.72,13.72,1,3
126.7772512,1499,1,0.505070942,0,9.142,0,9.142,9.142,4.21,1.14,2,3
75.7675841,1502.669725,1,2.317257538,22.172,11.276,0,16.45566232,16.45566232,3.26,165.82,3,3
75.9375,1500.998355,1,1.445244036,15.475,0,0,15.475,15.475,12.15,160.98,1,3
75.81947743,1502.515439,1,2.525224039,0,5.237,0,5.237,5.237,4.2,44.43,2,3
75.90547264,1503.104478,1,1.255612437,10.238,0,0,10.238,10.238,8.03,41.06,1,3
70.86404834,1499,1,1.911011717,3.703,1.534,0,4.113017924,4.113017924,3.3,3.53,3,3
109.7472924,1502.742479,1,1.445244036,15.475,0,0,15.475,15.475,8.3,153.52,1,3
107.6532399,1502.117338,1,1.400440761,10.238,0,0,10.238,10.238,5.7,38.47,1,3
147.6433225,1504.09772,1,1.442482085,15.475,0,0,15.475,15.475,6.13,152.61,1,3
151.6346154,1503.254808,1,1.41112962,10.238,0,0,10.238,10.238,4.15,39.82,1,3
75.7675841,1500.834862,1,2.792509886,1.534,3.703,0,4.113017924,4.113017924,3.26,7.71,3,3
75.9379085,1503.019608,1,1.442482085,15.475,0,0,15.475,15.475,12.23,152.61,1,3
72.65848214,1501.053571,1,2.441005521,0,5.475,0,5.475,5.475,4.47,47,2,3
73.18181818,1502.181818,1,1.41112962,10.238,0,0,10.238,10.238,8.35,39.82,1,3
75.77039275,1501.809668,1,1.548609438,3.703,1.534,0,4.113017924,4.113017924,3.3,2.38,3,3
109.7163636,1500.127273,1,1.442482085,15.475,0,0,15.475,15.475,8.24,152.61,1,3
113.7904412,1504.606618,1,1.41112962,10.238,0,0,10.238,10.238,5.43,39.82,1,3
151.7520392,1502.507341,1,1.445244036,15.475,0,0,15.475,15.475,6.12,153.52,1,3
142.5721154,1503.254808,1,1.400440761,10.238,0,0,10.238,10.238,4.15,38.47,1,3
75.76829268,1501.804878,1,2.792509886,1.534,3.703,0,4.113017924,4.113017924,3.27,7.71,3,3
74.15085158,1502.649635,1,1.442482085,15.475,0,0,15.475,15.475,12.32,152.61,1,3
75.94471154,1501.860577,1,2.441005521,0,5.475,0,5.475,5.475,4.15,47,2,3
75.90594059,1503.455446,1,1.41112962,10.238,0,0,10.238,10.238,8.07,39.82,1,3
75.76829268,1501.713415,1,1.548609438,3.703,1.534,0,4.113017924,4.113017924,3.27,2.38,3,3
75.77039275,1500.812689,1,3.446227976,17.297,32.06,0,16.45566232,16.45566232,3.3,179.16,3,3
72.96735187,1501.950423,1,1.726008986,10.238,0,0,10.238,10.238,8.26,110.77,1,3
70.89932886,1501.684564,1,2.519290269,0,5.475,0,5.475,5.475,4.46,47.46,2,3
74.05284227,1503.371497,1,1.436637091,15.475,0,0,15.475,15.475,12.48,98.3,1,3
68.00555556,1499,1,0.29377567,1.534,3.703,0,4.113017924,4.113017924,3.59,0.32,3,3
113.7964286,1501.267857,1,1.726008986,10.238,0,0,10.238,10.238,5.59,128.79,1,3
113.8614824,1503.094775,1,1.402797631,15.475,0,0,15.475,15.475,8.22,81.87,1,3
